target,frequency,num_of_docs_occured
pi,17752433,3465136
tar,8404379,2384332
sho,6007655,1802174
poi,2344926,984819
ney,1901114,745688
organ,1799177,758606
tres,1180391,494907
ching,974736,574511
guitar,624098,175890
bass,603944,259416
venu,574699,253257
nai,555708,279315
bell,550586,274954
yu,535140,195993
piri,406638,212815
oud,359164,192687
tiple,355463,219317
thon,319887,156863
chap,298587,151500
horn,275005,134244
piano,231661,94556
effects,221506,120506
lute,209100,124835
ugal,185071,82581
harp,182182,109507
tef,165536,97877
cello,157216,75845
viola,157021,80882
tape,143649,74383
keyboard,142139,71734
jing,128444,58033
violin,115080,43748
percussion,97462,58177
tible,96277,63156
riq,87178,51928
udu,71178,38239
bass guitar,62189,39019
trumpet,60448,32934
saxophone,56919,30247
bones,48693,27351
flute,48689,25163
guan,45244,20540
jug,44532,25059
strings,44253,23317
gong,43394,19594
buk,40626,22570
limbe,40626,24748
triangle,37704,17785
clarinet,36622,15840
synthesizer,35642,19704
igil,34586,20619
brass,34487,22255
anvil,32873,17007
acoustic guitar,31645,18919
suka,31132,13799
electric guitar,31009,17531
reeds,30645,13436
daf,27471,12415
whistle,23374,14228
trombone,23295,14310
zill,21362,7709
erhu,19884,11213
fiddle,19722,10689
recorder,19068,11105
koto,17915,8626
harmonica,17532,12325
dhol,16964,10629
dizi,16238,10827
mandolin,16204,9693
accordion,16038,9753
banjo,15300,9197
serpent,14422,8283
oboe,14409,7983
ruan,13176,7015
tenor saxophone,13142,10105
tuba,12555,7592
double bass,12109,8233
sitar,11674,7184
sheng,11158,5712
harpsichord,10988,5089
kora,10571,5951
bassoon,10336,5232
regal,10237,7215
steel guitar,10043,6781
string quartet,9710,5112
conch,9496,5535
alto saxophone,8668,6593
antara,8547,4697
tabla,7854,5364
continuum,7610,5047
berda,7053,3615
claves,6897,4369
chande,6776,4384
turntable,6661,4054
cymbal,6573,3885
Moog,6110,3116
sampler,5847,3925
bombarde,5823,4568
tambourine,5537,4471
typewriter,5391,3234
saz,5307,3477
electric piano,5175,4006
cornet,5174,3234
pipe organ,5089,3828
bass clarinet,4958,3383
timpani,4842,3235
khim,4837,2745
vibraphone,4822,3781
repeater,4769,2720
brushes,4763,3456
woodwind,4725,3413
tanbur,4661,2231
ebow,4645,2384
bagpipe,4579,2416
drum machine,4374,3102
disk drive,4339,2073
baritone saxophone,4339,3743
bayan,4312,2246
Hammond organ,4289,3276
piccolo,4249,3088
classical guitar,4201,2675
slide guitar,4137,3199
nabal,4110,1974
ukulele,3891,2476
zarb,3854,1588
daire,3823,2324
flugelhorn,3821,2997
ratchet,3749,2198
wot,3684,2093
congas,3632,2952
French horn,3615,2644
marimba,3563,2330
soprano saxophone,3529,2847
bugle,3455,1808
slapstick,3196,2667
bass drum,3195,2292
lyre,3171,1826
pipa,3140,1696
other instruments,3135,2817
pedal steel guitar,3133,2473
xun,3108,1563
harmonium,2920,2055
xiao,2844,1570
carillon,2629,975
chimes,2582,1869
taphon,2540,1475
madal,2448,1308
kaval,2433,1596
grand piano,2408,1897
spoons,2365,1766
glockenspiel,2287,1858
krap,2284,1128
bangu,2225,1480
snare drum,2202,1657
veena,2196,1139
barbat,2185,1453
bolon,2141,919
xylophone,2106,1586
wind instruments,2043,1647
bouzouki,1911,1311
melodica,1905,1614
gamelan,1876,650
siku,1838,1176
chacha,1810,965
zither,1809,930
bongos,1729,1423
quena,1727,1116
mbira,1669,896
spinet,1668,523
clavinet,1648,1396
vacuum cleaner,1643,1125
saw u,1628,1507
handclaps,1611,793
bass trombone,1554,1212
fife,1550,923
hard disk drive,1465,928
theremin,1429,882
vocoder,1426,998
piano trio,1381,1010
alto flute,1374,998
tap dance,1372,966
mellotron,1372,1136
cowbell,1317,1002
lap steel guitar,1308,1135
tulum,1305,792
celesta,1280,1002
concertina,1278,830
shakers,1263,857
clapper,1253,809
rehu,1238,852
euphonium,1234,704
taiko,1234,589
nguru,1195,742
maracas,1193,980
tabor,1123,625
quinto,1098,660
EWI,1098,683
tin whistle,1095,765
cuatro,1081,653
timbales,1050,825
hi-hat,1046,717
contrabassoon,1029,834
vielle,1020,644
wood block,1015,915
cor anglais,990,771
virginal,984,741
nagak,959,590
bazooka,938,623
autoharp,935,737
viola da gamba,932,498
yehu,911,520
didgeridoo,866,572
electronic instruments,865,724
Minimoog,857,581
baritone guitar,849,666
danso,829,552
kazoo,806,537
syrinx,793,322
fretless bass,776,662
tumbi,773,471
floppy disk drive,772,481
electric violin,757,572
bandura,751,156
akete,750,433
string trio,748,573
flamenco guitar,734,505
shakuhachi,734,370
djembe,721,465
washboard,713,508
bass flute,702,440
theatre organ,695,485
ocarina,661,449
gehu,660,422
fortepiano,653,346
Rhodes piano,647,538
mandola,642,463
analog synthesizer,640,449
Wurlitzer electric piano,631,517
string quintet,625,470
clavichord,615,377
ashiko,606,319
cornett,603,254
calabash,602,405
electronic organ,596,452
davul,594,384
bodhrán,594,397
sarod,569,346
electric bass guitar,558,486
resonator guitar,550,401
calliope,540,361
tubular bells,522,438
tambura,521,326
uilleann pipes,519,369
prepared piano,518,338
piano duo,518,371
shawm,509,285
sarangi,508,305
biwa,508,325
upright piano,507,414
shamisen,507,304
castanets,499,414
kös,497,285
tom-tom,493,406
rebec,485,343
vihuela,470,208
idiophone,466,274
surdo,464,235
saxophone quartet,464,349
setar,464,282
balalaika,457,275
hammered dulcimer,452,339
mridangam,449,227
keytar,446,294
duduk,445,281
viola d'amore,445,180
shofar,436,211
krar,430,299
toy piano,422,299
orphica,416,317
guitar synthesizer,414,332
charango,413,228
guban,410,227
cimbalom,408,217
Pianet,406,221
handbell,398,229
button accordion,397,238
sousaphone,384,240
theorbo,383,232
helicon,379,233
segunda,377,295
talking drum,374,290
cittern,368,223
piano quartet,367,279
electric sitar,366,297
kantele,358,154
basset horn,357,161
valve trombone,353,308
bass pedals,345,279
bass saxophone,344,241
frame drum,342,242
sabar,342,230
mellophone,335,204
mandocello,335,232
primero,334,247
mouth organ,328,245
piccolo trumpet,328,256
guqin,328,170
hummel,326,218
violone,324,159
baryton,323,170
piano four hands,322,247
contrabass clarinet,322,242
transverse flute,316,216
gralla,315,162
musical saw,313,208
reed organ,311,220
12 string guitar,310,272
tenor guitar,307,213
wind chime,307,250
zurna,304,199
double reed,302,200
güiro,300,214
bass viol,299,205
gaida,296,172
baritone horn,293,222
oboe d'amore,290,180
tenor trombone,289,189
balafon,287,158
piano accordion,284,225
arrabel,281,136
alto clarinet,279,162
kanun,276,204
bīn,275,193
steelpan,275,171
berimbau,271,142
low whistle,269,201
tenor banjo,268,195
tubon,266,140
huqin,265,194
guzheng,263,148
suona,262,175
tanpura,261,153
shehnai,260,156
santur,257,160
bass synthesizer,247,210
keyboard bass,246,214
cajón,245,169
acoustic bass guitar,243,210
cavaquinho,237,136
barrel organ,235,159
bansuri,233,156
psaltery,231,156
ondes Martenot,231,110
E-flat clarinet,230,200
pan flute,229,180
finger snaps,227,144
gusli,219,134
tack piano,213,172
violin family,213,126
crotales,210,164
ghatam,208,118
natural horn,207,117
janggu,207,113
khene,207,118
samica,206,138
thavil,205,152
nyckelharpa,204,129
rebab,204,132
tinya,204,165
brač,200,117
glass harmonica,198,132
caixa,198,98
Portuguese guitar,197,125
dholak,196,149
chalumeau,196,79
tzoura,193,128
gizmo,192,157
membranophone,192,145
bağlama,191,120
finger cymbals,191,172
hulusi,190,40
bandoneón,190,132
electric harp,186,131
flageolet,183,99
sackbut,181,108
Appalachian dulcimer,180,115
