target,frequency,num_of_docs_occured
oi,9579898,2599977
emo,3513602,1333181
mad,2794384,1301443
pop,2315051,1015395
mod,2085902,808797
opera,1982873,757557
house,1964662,703592
club,1306175,397243
opm,1120215,530442
rave,1109516,564273
country,881608,467739
contra,783488,411605
ska,759494,272155
rock,744428,334735
disco,710079,416419
dance,588931,280247
lied,510079,312587
western,481610,310769
mass,439379,240887
techno,407388,192548
surf,372127,173683
musical,370463,186692
electro,328170,133969
latin,323051,209310
interview,313543,187944
famo,303909,229446
folk,302532,142387
metal,293802,131842
comedy,290893,123440
wave,228137,98800
classical,216592,116936
industrial,200257,121582
electronic,172456,96693
speech,167179,90342
trance,166227,105409
trap,157490,94834
jazz,156079,65827
poetry,141815,61238
mento,141559,87882
lecture,140410,95217
mpb,129122,60909
dub,117223,77722
march,114556,58450
soul,104819,58348
medieval,102993,65682
cruise,99410,36765
instrumental,98277,75768
aor,93124,60502
edm,89451,45036
experimental,87026,60436
punk,81053,38468
compas,79469,65497
singer-songwriter,71992,45926
visa,71790,40685
progressive,67687,49136
filmi,64115,40584
breaks,61505,46054
blues,61014,29428
noise,60817,34000
jit,59667,29332
drill,59146,28595
freestyle,55315,21147
enka,49698,25827
ballad,48286,26166
swing,46868,30798
ballet,46765,18968
hip hop,45093,23725
rara,44278,22047
aita,42516,19305
aak,39128,21771
coco,38818,20245
corrido,36912,22396
noh,35864,18577
bomba,35642,19940
funk,33507,20151
snap,32187,22297
trot,29492,17867
gospel,28075,15591
fungi,25810,14946
filin,25496,17623
heavy metal,25164,16736
idm,23338,12600
drone,23148,10300
orchestral,22798,15445
jungle,20964,13190
rkt,20821,11390
reggae,19825,10158
bounce,16794,12407
americana,16653,9095
punk rock,16637,11348
concerto,16487,6920
avant-garde,16423,11727
ambient,15952,10670
symphony,15483,7986
psychedelic,15092,9317
alternative rock,14970,12115
gothic,14845,9825
glam,14778,11415
halftime,14300,6912
rasin,14291,9644
waka,14023,7506
lounge,13859,9879
cantata,13318,4521
