target,frequency,num_of_docs_occured
indie rock,13309,10806
vaudeville,12920,6588
hard rock,12648,9459
fairy tale,12413,7280
new wave,12068,8950
electronica,11914,9788
garba,11498,7870
baroque,11174,8321
sonata,10839,4457
stride,10498,8626
donk,10438,6030
cabaret,10281,7041
revue,10271,6397
plugg,10246,7044
apala,9756,4528
rock and roll,9631,6929
operetta,9200,5041
progressive rock,9001,6212
samba,8991,5202
semba,8776,6804
trova,8513,4910
zema,8464,4380
minatory,8272,6025
tango,8010,3791
bluegrass,7994,4223
sound effects,7792,6035
death metal,7700,4298
rumba,7349,3711
renaissance,7347,6369
tread,7172,4962
prelude,7103,5092
oratorio,6630,4201
black metal,6615,3064
pop rock,6377,5179
étude,6297,4368
big band,6278,4566
overture,6267,4499
xote,6123,3371
marching band,6092,3820
spoken word,5971,4571
twerk,5784,3587
rock musical,5639,5089
conga,5565,4229
ebm,5394,3397
post-punk,5378,3837
motet,5138,2140
waltz,5093,3089
eai,5066,3154
plena,5024,3652
salsa,4945,2707
grunge,4855,3089
flamenco,4807,2113
music hall,4725,3127
hardcore punk,4623,3275
duma,4520,2725
classic rock,4516,3326
folk rock,4334,3324
zolo,4276,2488
thrash metal,4209,2727
hambo,4071,2305
metalcore,4049,2477
indie pop,3978,3282
sketch comedy,3975,2964
zouk,3942,2475
eleki,3938,2178
glitch,3769,2777
nigun,3769,2599
brega,3641,1995
red song,3604,3350
whistling,3599,2457
polka,3497,2130
psychedelic rock,3483,2701
dancehall,3481,2067
brass band,3408,2308
rockabilly,3335,2169
copla,3329,1637
juke,3320,2353
fuji,3295,1486
church music,3288,2352
new age,3286,2954
madrigal,3260,1210
benga,3202,2002
dance-pop,3131,2200
garage rock,3067,2076
soca,3049,1726
choro,3015,1512
lowercase,3009,2095
post-hardcore,2923,2002
reggaeton,2861,1447
pop punk,2840,1963
progressive metal,2812,2059
synth-pop,2767,2079
old-time,2715,2189
electropop,2657,1942
calypso,2620,1287
drum and bass,2603,1575
bassline,2600,1923
expressionism,2562,1787
power pop,2537,1777
power metal,2523,1745
audio drama,2474,1642
grime,2461,1513
ghazal,2417,1123
ragtime,2313,1367
boogie,2311,1646
timba,2295,1447
post-rock,2253,1587
barbershop,2253,1607
tumba,2239,1293
dubstep,2229,1339
country rock,2227,1692
ngoma,2189,1185
tappa,2118,1205
easy listening,2083,1700
zess,2079,1545
kanto,2077,1155
rap metal,2065,1717
punta,2020,1511
concert band,1999,1380
cyberpunk,1985,1157
cumbia,1979,955
lo-fi,1973,1513
minimalism,1963,1525
ragga,1961,1364
blues rock,1960,1559
bhajan,1958,975
soft rock,1950,1633
free jazz,1944,1401
jazz fusion,1934,1617
sanjo,1910,991
doo-wop,1885,1342
gamelan,1876,650
art song,1850,1409
doom metal,1823,1236
bebop,1809,1166
raï,1799,1126
glam rock,1796,1356
nu metal,1787,1168
break-in,1714,1259
symphonic poem,1703,1068
bolero,1699,1031
steampunk,1672,923
footwork,1651,1145
city pop,1647,1489
contemporary classical,1613,1424
experimental rock,1609,1418
rock opera,1600,1241
k-pop,1557,1413
glam metal,1556,1089
alternative metal,1518,1135
classic country,1511,1149
g-house,1471,1176
serenade,1438,1191
bubbling,1435,1267
electroacoustic,1432,826
art rock,1426,1189
batida,1404,991
bossa nova,1382,1006
noise rock,1370,1073
songo,1367,695
sound art,1362,1032
requiem,1360,1078
futurism,1346,890
gothic rock,1328,964
merengue,1303,645
ondō,1294,693
grindcore,1290,792
smooth jazz,1288,899
fado,1270,657
classical period,1265,1032
fantasia,1261,837
impressionism,1237,993
trip hop,1227,938
spirituals,1220,799
schlager,1203,839
melodic death metal,1199,870
go-go,1181,778
industrial metal,1174,933
non-music,1159,1051
weightless,1155,810
rabiz,1154,648
opéra comique,1133,639
breakbeat,1130,776
chutney,1130,593
mariachi,1125,687
zarzuela,1118,504
baila,1100,718
alternative country,1096,871
mambo,1092,698
hyphy,1079,627
sawt,1069,653
crossbreed,1068,715
field recording,1061,841
klezmer,1047,533
shoegaze,1041,794
symphonic metal,1015,772
griot,1008,481
gothic metal,971,686
industrial rock,969,773
gangsta rap,964,607
repente,958,860
mainstream rock,939,813
hard bop,935,790
hi-tech,916,793
kafi,915,593
bachata,910,385
nocturne,900,550
post-grunge,894,680
electronic rock,870,749
acid house,861,566
kirtan,858,495
downtempo,855,703
post-industrial,841,695
folk metal,835,580
grand opera,835,580
traditional country,832,717
bélé,821,337
country pop,809,669
jam band,798,651
opera seria,785,421
dream pop,778,647
electric blues,775,523
pizzica,768,548
indie folk,757,671
deathcore,754,467
country blues,745,542
space rock,734,622
free improvisation,733,594
boogie-woogie,729,509
rap rock,724,546
teen pop,724,568
full-on,720,702
southern rock,700,582
jota,697,472
morna,689,380
beat music,679,615
mugham,674,330
mazurka,668,395
krautrock,666,521
neoclassicism,665,544
hands up,661,585
neo soul,659,472
punto,652,487
skiffle,641,436
exotica,639,509
visual kei,637,370
traditional pop,633,573
ska punk,626,482
ranchera,614,411
highlife,611,324
power electronics,610,455
bubblegum pop,606,501
celtic,605,468
lundu,601,414
opera buffa,601,329
mélodie,601,354
benna,601,333
contemporary jazz,596,523
parang,590,347
stoner rock,578,442
screamo,577,350
speed metal,575,439
polonaise,574,364
surf rock,573,488
abhang,558,281
indeterminacy,558,338
psychobilly,555,296
shatta,554,246
beatboxing,546,361
sludge metal,545,391
pub rock,538,392
avant-garde jazz,533,490
deep house,530,399
contemporary gospel,527,345
experimental electronic,523,492
bhangra,510,269
reductionism,507,322
psychedelic pop,507,432
musique concrète,505,370
qawwali,500,217
honky tonk,499,427
lavani,494,336
roots rock,490,440
chiptune,487,324
crunk,486,276
2-step,484,347
underground hip hop,482,424
zydeco,482,270
divertissement,477,327
serialism,476,312
birdsong,473,328
filk,470,188
rocksteady,468,302
toccata,462,264
gumbe,461,233
industrial techno,460,407
riot grrrl,458,255
arena rock,457,386
groove metal,456,326
acid jazz,452,368
electro house,452,355
drumline,452,298
jump up,451,418
progressive house,451,349
zamba,447,285
post-metal,445,321
no wave,443,335
genge,441,299
dark wave,439,337
jazz-funk,439,367
new jack swing,438,314
plainchant,437,302
alternative hip hop,436,388
yodeling,434,271
post-classical,428,352
alternative pop,428,390
math rock,425,330
art pop,424,368
instrumental rock,424,377
melodic hardcore,423,319
dansband,420,284
anarcho-punk,410,251
pansori,409,114
funk rock,408,346
afrobeat,408,257
sound collage,404,333
blue-eyed soul,404,319
kapuka,400,172
modern classical,398,340
vallenato,395,205
rapso,394,269
technical death metal,390,301
acid rock,384,261
funeral march,382,295
boogaloo,378,130
contemporary folk,378,333
musette,376,229
minstrelsy,376,227
electro-industrial,372,299
tropical house,371,271
pep band,370,273
verismo,368,234
harawi,365,229
dark ambient,362,288
garage punk,361,303
roots reggae,360,286
kwaito,360,126
ginan,355,247
jazz rock,348,312
proto-punk,347,290
eurodance,346,307
charanga,346,176
jump blues,344,261
classical crossover,339,286
prank calls,338,230
psychedelic folk,337,287
battle rap,337,212
kouta,335,202
d-beat,335,313
wonky,335,274
big beat,332,286
monodrama,332,259
soukous,329,183
vaporwave,327,117
piyyut,326,153
crossover thrash,325,266
southern gospel,324,228
mathcore,322,230
post-bop,320,295
danzón,318,109
avant-garde metal,316,240
horror punk,309,249
electroclash,306,236
ballad opera,304,206
contemporary country,301,277
fandango,300,181
r&b,300,280
milonga,299,163
rebetiko,297,120
cantoria,296,169
habanera,292,129
jug band,290,178
kagura,288,125
hardstyle,287,145
axé,287,177
standup comedy,285,257
symphonic black metal,284,234
crust punk,283,176
norteño,283,185
acoustic rock,283,228
dangdut,282,116
chilena,282,220
dance-rock,280,251
laiko,277,187
production music,276,220
vanera,273,168
queercore,273,156
symphonic rock,272,234
landó,271,132
cool jazz,270,224
outlaw country,264,205
cakewalk,262,174
turntablism,261,178
country folk,261,243
chamber pop,260,217
skate punk,260,183
vocal jazz,257,227
street punk,255,210
sertanejo,252,125
western swing,251,214
kwela,249,143
progressive bluegrass,248,231
kulintang,245,72
thumri,245,162
folk punk,245,190
gypsy jazz,245,152
new romantic,244,236
baroque pop,243,202
synthwave,242,161
dance-punk,240,211
estrada,239,132
horrorcore,239,157
joik,238,90
porro,235,142
guaracha,233,130
funk metal,232,161
cueca,232,108
neofolk,231,166
bagad,229,129
arrocha,226,170
folk pop,224,209
chillwave,224,112
tarantella,224,147
gabber,222,136
soul jazz,220,189
quiet storm,220,163
western classical,220,205
dhrupad,219,131
sea shanty,218,196
ricercar,218,124
singspiel,216,175
tejano,215,170
hip house,214,186
alternative dance,210,198
khyal,208,123
totalism,208,175
close harmony,207,193
saeta,207,126
koplo,204,97
tragédie en musique,201,133
sean-nós,199,92
dixieland,199,179
northern soul,196,104
classic jazz,195,190
comedy rock,194,181
minimal techno,194,154
rhumba,194,151
future bass,193,153
djent,192,134
psychedelic soul,191,151
mahori,190,115
fife and drum,188,133
murga,188,114
psytrance,187,119
electro-funk,187,165
chillout,186,159
slam poetry,182,136
mod revival,182,111
animal sounds,181,147
gagaku,181,117
cajun,180,154
sound poetry,180,113
instrumental jazz,180,173
descarga,178,86
denpa,178,137
new beat,178,152
acousmatic,174,79
sunshine pop,174,143
concerto grosso,174,119
choral symphony,173,122
lovers rock,173,118
happy hardcore,172,115
forró,171,80
jongo,170,115
jangle pop,170,140
pasodoble,168,87
schottische,166,122
art punk,166,145
turbo-folk,165,122
chopped and screwed,165,121
pop rap,165,125
anti-folk,164,116
pagode,164,92
cowpunk,163,111
mbaqanga,163,89
manele,161,71
swamp pop,161,96
neo-psychedelia,160,126
yé-yé,160,78
progressive pop,160,126
swing revival,159,111
post-punk revival,157,138
old school hip hop,157,143
noise pop,156,140
tech house,155,120
acoustic blues,154,138
tassu,154,92
slowcore,154,118
afrobeats,153,71
klapa,153,80
nerdcore,153,82
falak,153,95
stoner metal,150,132
cantopop,149,113
country rap,149,117
desert rock,148,117
folktronica,148,121
breakcore,147,102
orchestral song,146,119
sevdalinka,146,79
c-pop,145,138
nasheed,144,99
red dirt,143,136
blackened death metal,143,124
emo pop,142,86
progressive folk,140,95
hyperpop,140,83
classic blues,140,123
makina,138,80
candombe,138,73
boom bap,137,92
tape music,136,85
upopo,135,93
onkyo,135,88
deathrock,135,108
sardana,134,66
luk thung,133,70
hard house,133,73
maskanda,133,83
funk carioca,132,67
vude,130,96
powerviolence,130,79
indian pop,129,97
soul blues,129,105
ring shout,128,67
nature sounds,128,119
breakbeat hardcore,127,94
raga rock,127,62
hardcore hip hop,127,100
grebo,127,82
moombahton,125,83
hiplife,124,72
joropo,124,65
alternative folk,122,118
shanto,122,72
jōruri,122,82
heartland rock,121,97
pasillo,121,68
latin pop,119,99
emo rap,119,66
countrypolitan,119,97
guided meditation,119,91
witch house,119,84
narcocorrido,118,51
neo-progressive rock,117,112
marabi,116,40
dark electro,116,105
hardcore techno,115,97
lute song,115,79
liscio,114,69
gnawa,114,67
tiento,113,58
ambient house,113,72
world fusion,113,95
opera-ballet,112,91
modal jazz,112,85
2 tone,112,97
third stream,112,90
guaguancó,112,50
deep tech,112,88
guajira,111,62
coon song,111,64
bedroom pop,110,86
xuc,110,67
rapcore,110,96
progressive trance,107,87
cloud rap,106,70
ambient techno,106,84
third wave ska,103,83
drone metal,103,85
hip hop soul,103,79
operatic pop,102,93
humppa,102,28
futurepop,101,91
méringue,101,39
electropunk,101,94
bulería,101,54
whale song,100,64
garage house,99,86
piphat,99,44
indietronica,99,90
glam punk,98,92
leftfield,96,90
dembow,95,70
thrashcore,95,61
izlan,94,82
biguine,92,36
yacht rock,92,49
progressive country,92,81
kuduro,92,40
hypnagogic pop,91,36
experimental hip hop,90,87
dark cabaret,89,74
mor lam,89,39
bouyon,87,22
makossa,87,43
maloya,86,38
electronicore,86,80
isicathamiya,86,46
talking blues,86,72
assiko,86,74
bikutsi,86,21
melodic metalcore,85,69
frevo,85,46
cuarteto,85,50
son montuno,85,58
min'yō,85,29
batuque,84,54
pachanga,84,52
acid techno,84,69
kayōkyoku,84,49
future house,83,72
chanson française,82,67
country gospel,81,71
garage rock revival,81,69
speed garage,80,48
eurobeat,80,55
instrumental hip hop,80,70
deep soul,80,69
doina,80,44
sōkyoku,80,50
baião,80,57
mandopop,79,66
britpop,79,72
twee pop,78,70
punk blues,78,65
digital hardcore,78,58
coladeira,77,33
lambada,77,52
marinera,76,49
ars nova,76,61
p-funk,76,68
cuplé,76,59
seguidilla,76,48
melodic black metal,75,64
ahwash,75,38
ars subtilior,75,47
delta blues,75,70
swamp rock,75,73
deathgrind,75,71
disco polo,74,16
son cubano,74,58
heavy psych,73,69
bro-country,73,37
hard trance,73,58
kizomba,72,41
kundiman,72,39
nueva canción,72,43
phonk,72,29
jùjú,71,31
hauntology,71,38
aggrotech,71,62
pop metal,71,63
champeta,71,29
dabke,71,33
tribal house,70,56
maracatu,70,31
slack-key guitar,70,59
asmr,70,41
mbalax,69,35
yayue,69,24
harsh noise,69,55
brutal death metal,69,63
funaná,69,21
yukar,68,33
southern soul,68,63
kabarett,68,46
vocal trance,67,44
europop,67,60
freak folk,67,58
broken beat,66,55
southern hip hop,66,59
dark disco,66,61
microhouse,66,46
keroncong,65,42
chalga,65,50
changüí,65,24
boogie rock,64,60
ghetto house,64,34
nu jazz,64,59
dark folk,63,55
oberek,63,41
pimba,63,26
artcore,63,45
taarab,63,32
new rave,62,43
verbunkos,62,31
opera semiseria,61,40
modern blues,61,55
big room house,61,42
ambient pop,61,52
kecak,60,21
smooth soul,60,53
viking metal,59,52
funky house,59,52
jazz rap,59,45
hexd,59,35
ryūkōka,59,35
neoclassical metal,59,49
jazz pop,59,54
csárdás,59,40
freakbeat,58,50
group sounds,58,52
plunderphonics,57,36
beat poetry,57,56
gwo ka,57,20
bit music,56,49
coldwave,56,48
swamp blues,56,43
orchestral jazz,55,44
minimal synth,55,44
speedcore,54,21
electro-disco,54,46
piano rock,54,54
bambuco,54,38
medieval metal,54,49
cowboy poetry,53,34
kawaii metal,53,35
goregrind,53,35
shinkyoku,52,45
pinpeat,52,23
symphonic prog,52,38
industrial musical,52,31
cumbia villera,52,20
slow waltz,52,48
motown,52,50
salegy,52,19
shima-uta,51,9
electro swing,51,42
space disco,51,41
chèo,51,30
traditional black gospel,50,35
chachachá,50,34
levenslied,49,32
frenchcore,49,9
samba-reggae,48,20
huapango,48,40
pagan folk,48,38
huayno,48,37
sutartinės,48,15
sophisti-pop,47,41
political hip hop,47,39
avant-garde pop,47,44
nuevo tango,47,36
reggae-pop,47,38
broken transmission,47,39
bandari,47,31
zeybek,47,20
palm-wine,47,28
tropical rock,46,36
maxixe,46,29
cải lương,46,32
son jarocho,45,22
country soul,45,43
conscious hip hop,45,36
techstep,45,24
kaseko,45,30
dangak,44,20
latin jazz,44,40
industrial hip hop,44,30
jazz poetry,44,33
tonadilla,44,29
samba-canção,44,20
blackgaze,44,28
funeral doom metal,44,41
nueva trova,44,30
honkyoku,43,22
sinfonia concertante,43,27
noisecore,43,39
éntekhno,43,6
bass house,42,27
sufi rock,42,34
ambient dub,42,38
ethereal wave,41,29
modinha,41,27
amapiano,41,27
new complexity,41,39
pop soul,41,38
duranguense,41,33
samba-enredo,40,22
c86,40,34
seapunk,40,17
raw punk,40,33
batucada,40,32
hyangak,40,11
ca trù,40,15
space age pop,39,30
surf punk,39,32
budots,39,4
género chico,39,17
progressive electronic,38,35
gqom,38,24
shidaiqu,38,18
medieval rock,38,33
power noise,37,30
payada,37,19
salsa romántica,37,16
praise & worship,37,24
hardbass,37,7
chacarera,37,30
glitch hop,36,22
nagauta,36,31
crunkcore,36,21
deep funk,36,28
sungura,36,27
emocore,35,30
rumba flamenca,35,21
concerto for orchestra,35,33
mbube,35,23
xẩm,35,8
darkcore,35,27
shaabi,35,24
zeuhl,35,30
muliza,35,12
urban cowboy,35,30
nightcore,34,11
g-funk,34,31
vocal house,34,33
gypsy punk,34,30
coupé-décalé,34,21
rigsar,34,15
merengue típico,33,16
jumpstyle,33,25
illbient,33,29
sevillanas,33,27
comedy hip hop,33,28
free folk,33,26
hopepunk,33,5
tumba francesa,33,13
electrotango,32,16
spouge,32,8
bitpop,32,23
dub techno,32,23
gondang,32,22
sinawi,32,7
binaural beats,32,25
dub poetry,32,23
nu disco,32,31
future funk,31,23
festejo,31,27
piano blues,31,30
jaipongan,30,8
ars antiqua,30,21
dungeon synth,30,5
drumstep,30,19
hill country blues,30,21
bongo flava,30,21
avant-folk,30,28
spectralism,29,17
afroswing,29,19
neo-rockabilly,29,25
hard techno,29,28
chamber folk,29,27
vals criollo,29,18
waulking song,29,22
guarania,29,27
desert blues,29,22
white voice,28,24
geek rock,28,19
kujawiak,28,7
neurofunk,28,24
bubblegum dance,28,26
għana,28,7
rautalanka,28,6
dirty south,28,26
chutney soca,28,14
minimal wave,28,22
bluegrass gospel,28,27
alternative punk,27,26
gamelan gong kebyar,27,14
experimental big band,27,24
arabesk,27,19
trap metal,27,21
martial industrial,27,24
marchinha,27,19
shashmaqam,26,12
occult rock,26,16
jazz blues,26,25
rōkyoku,26,16
tondero,26,13
old school death metal,26,21
goa trance,26,23
novelty piano,25,16
bolero son,25,24
country boogie,25,17
modern creative,25,25
skacore,25,24
lo-fi hip hop,25,21
atmospheric black metal,25,24
zouglou,25,15
technical thrash metal,25,22
ripsaw,25,15
j-pop,24,23
avant-prog,24,24
hardbag,24,13
takamba,24,15
hard drum,24,24
chamamé,24,19
tropicália,24,17
psycore,24,18
khrueang sai,24,3
psybient,24,18
pornogrind,23,11
chimurenga,23,17
bocet,23,20
cadence rampa,23,15
post-minimalism,23,20
asian rock,23,17
canzone napoletana,23,9
war metal,23,19
néo-trad,23,18
tex-mex,23,19
ghettotech,23,17
melodic dubstep,23,14
complextro,22,16
chanson réaliste,22,13
neoclassical dark wave,22,20
quyi,22,19
space ambient,22,20
samba-rock,22,13
gospel reggae,22,15
livetronica,22,16
marrabenta,21,8
liquid funk,21,15
séga,21,11
microsound,21,17
beatdown hardcore,21,17
guoyue,21,10
powada,21,8
bleep techno,21,17
salsa dura,21,16
celtic rock,20,19
música criolla,20,19
krakowiak,20,15
nuevo flamenco,20,17
fakaseasea,20,7
talempong,20,11
deep techno,20,19
dreampunk,20,3
bouncy techno,20,10
west coast swing,20,18
glitch pop,20,17
circus march,20,18
gregorian chant,20,17
hardvapour,20,3
diva house,20,15
punk rap,20,18
data sonification,20,12
kumi-daiko,19,10
carimbó,19,13
integral serialism,19,15
muziki wa dansi,19,16
future garage,18,16
southern metal,18,17
easycore,18,14
orthodox pop,18,18
samba-jazz,18,12
dream trance,18,16
pilón,18,11
junkanoo,18,14
death 'n' roll,18,12
zamacueca,18,11
skweee,18,7
celtic punk,17,17
trallalero,17,7
traditional doom metal,17,13
bullerengue,17,13
phleng phuea chiwit,17,7
campursari,17,15
campus folk,17,14
crossover jazz,17,16
unyago,16,7
township jive,16,14
kalindula,16,7
ketuk tilu,16,3
chipmunk soul,16,11
brostep,16,8
sonorism,16,11
samba de roda,16,9
tropipop,16,10
industrial hardcore,16,16
slacker rock,15,11
paisley underground,15,14
tizita,15,10
algorave,15,7
deconstructed club,15,12
kadongo kamu,15,7
stochastic music,15,15
tallava,15,6
folkhop,15,6
jeongak,15,10
melodic house,15,13
carnatic classical,15,15
seggae,15,11
ballroom house,14,11
mor lam sing,14,12
spacesynth,14,9
njuup,14,9
kleinkunst,14,13
jiuta,14,5
latin rock,14,12
son huasteco,14,10
timbila,13,9
jácara,13,11
quan họ,13,10
merseybeat,13,12
acid trance,13,11
danmono,13,4
gothic country,13,12
nu skool breaks,13,12
funk ostentação,13,8
tech trance,13,11
hardstep,13,12
tamborito,13,11
currulao,12,11
merenhouse,12,4
fantezi,12,11
tecnobrega,12,9
skinhead reggae,12,12
sertanejo universitário,12,9
canción melódica,12,7
gospel house,12,10
kwassa kwassa,12,10
luk krung,12,8
cybergrind,12,10
euro house,12,6
crossover prog,11,10
cumbia santafesina,11,4
nortec,11,8
ragga jungle,11,9
gamelan degung,11,8
west coast hip hop,11,11
hát tuồng,11,7
future core,11,11
afro-funk,11,11
ambient trance,11,11
suomisaundi,11,4
cantu a tenore,11,7
epic doom metal,11,11
maftirim,11,2
afro-jazz,11,9
ciranda,11,11
blackened crust,11,9
goombay,11,8
colindă,10,8
conducted improvisation,10,8
shitgaze,10,8
tamborera,10,3
sacred steel,10,6
vaudeville blues,10,10
progressive breaks,10,9
tanjidor,10,5
tin pan alley,10,10
embolada,10,9
death-doom metal,10,9
biraha,10,10
balearic beat,10,7
sacred harp,10,9
carnavalito,10,8
rumba catalana,10,8
rock urbano,10,7
euro-trance,10,8
romantic classical,10,10
organic house,10,9
muiñeira,10,5
malhun,10,9
death industrial,10,10
cumbia sonidera,9,8
maddahi,9,3
flamenco pop,9,8
abstract hip hop,9,9
partido alto,9,6
black noise,9,5
palingsound,9,1
gamelan angklung,9,6
shan'ge,9,5
raggacore,9,8
kacapi suling,9,8
shōmyō,9,9
dongjing,9,5
shibuya-kei,9,9
breakstep,9,7
contemporary christian,9,9
melodic techno,9,8
lo-fi house,8,7
gambang kromong,8,6
darkstep,8,6
vocal surf,8,8
fidget house,8,8
hi-nrg,8,8
deathstep,8,1
boduberu,8,4
tsapiky,8,6
slam death metal,8,8
lento violento,8,2
acid breaks,8,7
tearout,8,8
cyber metal,8,5
trap soul,8,7
gaita zuliana,8,7
rizitika,8,1
guitarrada,8,7
bubblegum bass,8,8
cumbia pop,8,7
funk melody,8,8
zouk love,8,6
nitzhonot,8,4
cantu a chiterra,8,6
outsider house,8,6
agbekor,8,7
natya sangeet,7,7
pagan black metal,7,7
gagok,7,5
jungle terror,7,4
digicore,7,5
dark psytrance,7,7
slap house,7,7
balitaw,7,7
boedra,7,5
cubatón,7,3
pìobaireachd,7,6
sambass,7,5
synth funk,7,6
pipe band music,7,7
christian rock,7,5
holy minimalism,7,5
stornello,7,7
dubwise,7,7
italo-disco,7,6
east coast hip hop,6,6
emoviolence,6,5
midwest emo,6,5
čalgija,6,3
sambalanço,6,5
yaraví,6,6
tribal guarachero,6,3
euro-disco,6,6
kaneka,6,5
harsh noise wall,6,5
latin house,6,5
pop yeh-yeh,6,3
könsrock,6,2
mangue beat,6,6
christmas music,6,5
qasidah modern,6,4
kuda lumping,6,6
bard rock,6,6
género grande,6,3
vaportrap,6,5
stenchcore,6,3
darksynth,6,3
shangaan electro,6,3
hybrid trap,6,6
math pop,6,6
q-pop,6,6
neo-traditional country,6,6
semi-trot,6,6
chazzanut,6,5
singeli,6,4
kidumbak,6,1
free tekno,6,4
depressive black metal,6,5
italo house,6,6
afro rock,6,6
funkot,6,4
wassoulou,6,2
bardcore,5,3
drumfunk,5,5
hard trap,5,5
znamenny chant,5,4
tajaraste,5,3
terrorcore,5,5
himene tarava,5,3
shabad kirtan,5,5
mahraganat,5,2
pop raï,5,3
agbadza,5,3
dark jazz,5,5
trance metal,5,5
piedmont blues,5,5
fife and drum blues,5,5
atmospheric sludge metal,5,5
andean new age,5,5
flashcore,5,4
samba-choro,5,4
mallsoft,5,2
samba de breque,5,2
moombahcore,5,5
nhạc đỏ,5,4
son calentano,5,3
sampledelia,5,5
black midi,5,4
jamgrass,5,4
purple sound,5,2
baithak gana,5,5
banda sinaloense,5,5
v-pop,5,5
flamenco jazz,5,5
djanba,5,4
baisha xiyue,5,4
dubstyle,5,4
taquirari,5,3
jersey club,4,3
dhaanto,4,4
mincecore,4,1
nintendocore,4,4
dobrado,4,3
neo-acoustic,4,4
brutal prog,4,4
latin disco,4,4
gamelan jegog,4,3
dimotiko,4,4
gamelan semar pegulingan,4,4
neofolklore,4,2
afro house,4,4
bandinha,4,1
candombe beat,4,4
jazzstep,4,4
moda de viola,4,2
indorock,4,3
cumbia chilena,4,2
nova cançó,4,3
sarala gee,4,4
afoxê,4,4
rom kbach,4,4
avtorskaya pesnya,4,3
latin ballad,4,4
porn groove,4,4
latin soul,4,4
movimiento alterado,4,4
crime jazz,4,4
zamrock,4,3
hindustani classical,4,4
christian metal,4,4
hyper techno,4,3
música cebolla,4,1
schranz,3,3
runo song,3,3
melodic trance,3,3
ziglibithy,3,2
country yodeling,3,2
urtiin duu,3,3
música de intervenção,3,2
uzun hava,3,3
bhavageethe,3,3
hardwave,3,2
bachatón,3,2
zohioliin duu,3,1
black 'n' roll,3,3
samba-exaltação,3,1
sasscore,3,2
horror synth,3,3
ambasse bey,3,3
extratone,3,2
langgam jawa,3,2
atmospheric drum and bass,3,2
drill and bass,3,2
adhunik geet,3,3
gamelan salendro,3,3
techno bass,3,3
tsugaru-jamisen,3,3
digital cumbia,3,3
gamelan joged bumbung,3,3
j-rock,3,2
samba de terreiro,3,1
samba soul,3,2
future bounce,3,3
gamelan sekaten,3,2
technobanda,3,3
ritual ambient,3,3
trova yucateca,3,3
funktronica,3,3
doomcore,3,3
miami bass,3,3
french electro,3,3
progressive psytrance,3,3
merecumbé,3,2
minimal drum and bass,3,3
epic collage,3,3
french house,3,3
uptempo hardcore,3,3
rawstyle,3,3
musique concrète instrumentale,2,2
medieval lyric poetry,2,2
truck driving country,2,1
tchinkoumé,2,2
cantonese opera,2,2
gamelan gender wayang,2,2
gamelan gong gede,2,2
uk drill,2,2
zinli,2,2
neon pop punk,2,1
drift phonk,2,1
gamelan beleganjur,2,2
picopop,2,2
forró universitário,2,1
gamelan selunding,2,2
javanese gamelan,2,2
tamborzão,2,2
afro-zouk,2,2
jazz guachaca,2,1
scrumpy and western,2,2
neoperreo,2,1
tammurriata,2,2
festival trap,2,2
indian classical,2,2
j-core,2,2
nouveau zydeco,2,2
chicano rap,2,2
contemporary r&b,2,2
chillstep,2,2
mchiriku,2,2
bomba del chota,2,2
nueva canción chilena,2,2
ethio-jazz,2,2
kankyō ongaku,2,2
viking rock,2,1
