target,frequency,num_of_docs_occured
oi,3111362,1490231
rock,2320008,1000474
pop,1487674,869829
emo,962923,543888
mad,731172,478537
metal,558898,232406
musical,538063,394268
mod,451935,247371
dance,444569,289203
jazz,364643,234073
punk,358801,184836
country,339562,209639
house,337434,196852
electro,316255,206017
opera,311265,155393
pop rock,306691,252590
rave,291712,172394
folk,273027,174090
electronic,254466,181993
disco,228184,163211
soul,215196,157786
alternative rock,208545,111954
indie rock,200684,147474
club,194551,133183
blues,189403,119695
contra,174072,123472
instrumental,159642,135968
wave,146762,92100
interview,143986,109551
latin,134886,98695
ska,129676,74121
ballad,129003,104883
opm,125580,69934
funk,124295,84158
classical,118579,89156
singer-songwriter,118435,81069
progressive,114776,73713
famo,114560,95822
mass,102411,62137
classic rock,100694,56460
hard rock,97086,66306
techno,91726,57261
heavy metal,84976,74632
lied,83203,56382
hip hop,80543,58175
experimental,78254,62318
comedy,77368,58299
surf,77316,44090
dub,71542,51930
industrial,69166,37323
psychedelic,62517,43974
reggae,62176,43728
progressive rock,61961,38086
punk rock,60731,53550
new wave,59376,42208
grunge,56387,33092
western,56292,38053
gospel,53958,39310
noise,53543,39615
mento,53146,36138
trap,52807,33821
visa,52749,38693
swing,52180,41366
mpb,49492,28269
alternative pop,45722,43797
trance,44297,32185
orchestral,42493,34979
death metal,41582,26157
pop punk,40103,20414
edm,39228,21542
ambient,38473,30929
poetry,34845,25035
indie pop,34843,26186
march,30938,20277
speech,30398,18712
electronica,30374,25661
ballet,29770,19360
concerto,29496,18699
alternative metal,28762,18874
aor,28582,20330
nu metal,25842,13009
post-punk,25621,17685
metalcore,25110,15547
breaks,25075,21697
gothic,24899,14467
thrash metal,24329,15936
bluegrass,24007,15836
psychedelic rock,22375,13369
black metal,22318,14493
rock and roll,21985,18726
glam,21585,16639
filmi,21254,15113
compas,20996,17791
post-hardcore,20770,12018
symphony,20641,15760
medieval,19635,12850
avant-garde,19495,16953
britpop,19430,10024
sonata,18547,10723
progressive metal,18341,13068
hardcore punk,17451,15170
drone,17379,12577
lecture,17254,13796
cantata,16938,7717
screamo,15297,8580
big band,15140,12812
aak,15036,8375
plugg,14984,9891
folk rock,14921,11707
bassline,14838,13108
jit,13838,8725
snap,13027,11360
garage rock,12930,10409
lo-fi,12911,9881
enka,12451,7562
drill,12367,6815
soft rock,12059,9313
salsa,11899,8184
new age,11885,10622
cabaret,11648,8965
tango,11595,6312
power metal,11525,8438
dancehall,11479,8872
