target,frequency,num_of_docs_occured
easy listening,10786,9868
lounge,10688,9133
rockabilly,10658,8674
chillout,10501,10233
bebop,10386,9339
rasin,10233,9294
twerk,10170,7252
blues rock,10145,9674
cruise,10068,5669
samba,10055,6102
trot,9782,6230
flamenco,9537,6538
waltz,9475,7596
power pop,9425,7932
spoken word,9375,8486
idm,9106,6098
jungle,9037,6587
revue,8884,6834
bomba,8828,7585
glam rock,8667,6048
country rock,8649,8074
boogie,8634,7197
operetta,8518,5911
industrial rock,8476,4710
coco,8412,4311
red song,8410,8191
smooth jazz,8200,7410
art rock,8014,7075
noh,7990,4574
gothic rock,7989,4613
oratorio,7985,5868
shoegaze,7939,6039
baroque,7876,6381
bounce,7795,6647
free jazz,7151,6117
industrial metal,7124,4993
stride,7077,6302
dream pop,7010,5718
motet,6995,3593
rara,6946,4258
post-rock,6830,5611
experimental rock,6827,6532
sound effects,6778,5922
grindcore,6762,5605
aita,6737,3432
hard bop,6686,6024
prelude,6669,4508
vaudeville,6663,5274
overture,6627,4684
freestyle,6543,4968
dance-pop,6492,5483
downtempo,6485,5450
gothic metal,6406,3763
post-grunge,6387,4600
electropop,6366,4632
doom metal,6281,5147
melodic death metal,6211,3904
indie folk,6140,4505
drum and bass,6126,5048
dubstep,6082,4462
bossa nova,6046,5049
garba,6029,5071
trip hop,6013,5552
glitch,6008,5081
ebm,5966,3193
rkt,5964,3409
contemporary country,5925,5800
symphonic metal,5856,3666
jazz fusion,5792,5435
conga,5707,4776
southern rock,5654,3950
gangsta rap,5582,4974
calypso,5487,3373
breakbeat,5240,4471
country pop,5172,4471
reggaeton,5116,3416
funk rock,5067,2749
juke,5060,4216
noise rock,4999,4635
madrigal,4996,2239
grime,4850,3372
tread,4839,4117
synth-pop,4718,4018
contemporary jazz,4694,4399
corrido,4661,2972
ragga,4631,3632
k-pop,4575,4250
electric blues,4549,4180
rumba,4538,3123
roots rock,4495,4316
ragtime,4479,3226
music hall,4455,3575
marching band,4355,3496
space rock,4308,3437
polka,4269,2957
roots reggae,4205,3372
stoner rock,4178,3039
traditional country,4177,3943
alternative country,4107,3969
fairy tale,4105,2904
christian rock,4082,2060
minimalism,4067,3653
teen pop,4057,3575
vocal jazz,4043,3867
post-bop,3987,3507
ska punk,3953,2981
rock opera,3953,3258
zouk,3947,2759
speed metal,3930,2832
old-time,3923,3309
cumbia,3873,2414
groove metal,3857,2072
honky tonk,3850,3380
traditional pop,3785,3701
brass band,3732,2777
jam band,3703,3273
doo-wop,3659,3073
church music,3658,3136
emocore,3632,1837
filin,3620,2829
arena rock,3554,3390
deathcore,3544,2435
punta,3457,2898
bolero,3430,2684
contemporary folk,3295,3238
celtic,3280,2505
art song,3239,2772
classic country,3225,3108
acid jazz,3215,2977
renaissance,3157,2927
field recording,3137,2795
alternative dance,3058,3027
halftime,2981,2256
gamelan,2970,1637
merengue,2931,1700
melodic hardcore,2896,1721
piano rock,2884,1518
americana,2848,2485
garage punk,2827,2711
experimental electronic,2758,2694
funk metal,2731,1731
world fusion,2721,2678
timba,2713,1829
xote,2709,1455
country blues,2708,2337
chamber pop,2680,2505
fungi,2656,1210
nwobhm,2545,1101
trova,2514,1926
contemporary classical,2481,2322
donk,2475,1425
contemporary gospel,2464,2336
free improvisation,2461,2312
mariachi,2394,1756
glam metal,2362,2012
klezmer,2320,1652
instrumental rock,2303,2212
whistling,2286,1958
crossover jazz,2252,2246
neo soul,2247,2088
spirituals,2223,1706
symphonic black metal,2217,1830
bubbling,2198,2126
rap metal,2196,2027
acid house,2174,1800
soca,2161,1327
jazz rock,2158,2024
quiet storm,2158,2018
full-on,2133,2097
symphonic poem,2087,1621
progressive house,2086,1937
serenade,2062,1791
bachata,2051,1161
psychedelic pop,2039,1951
avant-garde jazz,2005,1865
jazz-funk,1982,1748
rocksteady,1972,1643
barbershop,1960,1400
waka,1959,1241
zema,1946,986
electroacoustic,1941,1604
mambo,1914,1342
fantasia,1904,1444
riot grrrl,1904,1282
go-go,1889,1403
math rock,1889,1606
krautrock,1869,1712
rock musical,1867,1781
noise pop,1858,1767
classic jazz,1835,1797
technical death metal,1833,1564
boogie-woogie,1827,1479
psychobilly,1820,1596
brutal death metal,1808,1022
ambient techno,1757,1700
crunk,1752,1199
big beat,1743,1558
sludge metal,1699,1461
concert band,1697,1346
deep house,1694,1503
mainstream rock,1673,1566
non-music,1664,1599
garage rock revival,1661,1638
eai,1631,1162
blue-eyed soul,1608,1476
progressive bluegrass,1607,1559
r&b,1592,1293
rap rock,1585,1460
folk metal,1576,1309
hambo,1574,1131
dark ambient,1573,1463
classic blues,1564,1530
pizzica,1562,1298
electroclash,1561,1199
ranchera,1540,1120
pop metal,1536,1504
zydeco,1530,1051
jangle pop,1522,1380
no wave,1517,1348
pub rock,1516,1253
electronic rock,1507,1336
schlager,1499,1138
latin pop,1485,1442
third wave ska,1482,1451
fado,1473,829
jazz pop,1451,1445
surf rock,1451,1313
exotica,1444,1263
footwork,1444,962
lowercase,1441,1098
baroque pop,1427,1134
new jack swing,1418,1226
sound art,1415,1288
sketch comedy,1402,1227
bubblegum pop,1393,1303
new romantic,1364,1157
progressive trance,1364,1320
skiffle,1362,1109
countrypolitan,1359,1327
beat music,1347,1298
stoner metal,1331,1263
soul jazz,1325,1262
classical crossover,1296,1219
acoustic blues,1274,1191
kanto,1263,858
eleki,1260,636
eurodance,1239,983
mathcore,1238,760
turntablism,1230,1089
comedy rock,1230,1164
apala,1220,685
art pop,1201,1016
indietronica,1200,676
proto-punk,1197,1124
outlaw country,1196,1093
jump blues,1195,1025
alternative folk,1194,1188
pop rap,1191,1146
zarzuela,1179,730
tumba,1167,741
freak folk,1167,768
sunshine pop,1166,1088
post-metal,1160,942
cool jazz,1154,1054
horror punk,1154,817
requiem,1139,953
choro,1116,671
lovers rock,1115,1026
neo-psychedelia,1114,1069
electro house,1110,1013
sound collage,1108,1031
underground hip hop,1108,1047
smooth soul,1105,1081
ghazal,1095,680
serialism,1091,917
nocturne,1068,769
psychedelic folk,1062,860
norteño,1061,560
highlife,1046,785
boogie rock,1043,1024
étude,1040,703
minimal techno,1027,912
mazurka,1025,714
modern classical,1016,946
delta blues,1008,858
musique concrète,1007,849
folk pop,1002,983
ambient pop,988,978
visual kei,985,754
acoustic rock,985,954
cyberpunk,985,612
heartland rock,983,945
zolo,983,659
griot,974,586
dance-rock,973,908
emo pop,970,903
slowcore,951,866
futurism,950,741
ngoma,949,505
weightless,949,827
alternative hip hop,941,882
tejano,937,841
futurepop,935,538
rapcore,934,822
skate punk,923,689
dirty south,908,893
jug band,908,678
acid rock,899,760
benna,888,612
pop soul,872,865
chillwave,869,651
yodeling,867,680
electro-industrial,867,766
grand opera,865,683
progressive country,861,830
country folk,860,833
2-step,853,625
plainchant,836,680
songo,828,634
semba,823,661
plena,819,579
dance-punk,818,716
minatory,815,667
madchester,806,468
instrumental jazz,803,788
raï,797,458
breakcore,792,674
psytrance,783,694
afrobeat,781,604
steampunk,778,444
melodic metalcore,775,472
symphonic rock,775,644
tech house,768,708
bhangra,759,550
kwaito,758,389
northern soul,744,630
deep soul,738,718
crossover thrash,735,673
toccata,729,480
psychedelic soul,728,680
horrorcore,726,560
beatboxing,721,587
duma,721,455
progressive folk,720,664
western swing,719,648
anarcho-punk,711,573
piano blues,709,702
chiptune,702,566
boogaloo,699,543
expressionism,697,538
soukous,689,549
baila,685,533
audio drama,674,481
rhumba,673,567
post-industrial,663,561
anti-folk,660,550
vallenato,657,461
electro-funk,657,621
battle rap,655,532
post-punk revival,652,634
crust punk,641,518
bhajan,633,535
dansband,627,461
zess,623,408
motown,622,382
twee pop,618,592
charanga,617,444
musette,615,398
country gospel,612,578
birdsong,610,508
cajun,608,402
kirtan,602,409
close harmony,599,585
habanera,597,337
opera seria,583,443
copla,579,324
southern soul,576,566
punk blues,573,551
vaporwave,572,301
avant-garde metal,570,531
classical period,569,502
progressive electronic,569,560
qawwali,565,399
mugham,563,301
polonaise,562,365
brega,559,439
impressionism,552,497
dark cabaret,543,357
wonky,531,492
viking metal,525,420
dark wave,524,470
queercore,522,402
cowpunk,520,440
hardstyle,518,371
jump up,517,501
mélodie,515,334
gabber,511,371
street punk,503,435
art punk,497,489
filk,496,239
gypsy jazz,495,406
southern gospel,492,359
djent,491,365
hands up,487,427
christian metal,483,347
nature sounds,481,436
new rave,478,250
minstrelsy,478,348
punto,474,333
folk punk,472,400
jazz rap,472,445
morna,471,297
funeral march,467,409
contemporary christian,466,457
milonga,464,333
nigun,457,312
broken beat,449,381
benga,448,320
dixieland,444,400
kafi,441,249
modal jazz,441,405
latin jazz,439,419
new beat,438,396
progressive pop,437,399
drumline,435,368
jota,435,249
guaracha,435,324
joik,427,211
happy hardcore,427,343
swing revival,425,388
modern creative,424,419
bedroom pop,421,373
deathrock,419,365
pansori,417,170
soul blues,413,405
sea shanty,411,382
dubwise,409,373
neofolk,408,341
modern blues,408,393
synthwave,405,314
opéra comique,405,278
tropical house,402,335
folktronica,400,338
vocal trance,398,212
rebetiko,397,233
swamp pop,395,282
neoclassicism,395,353
nerdcore,393,294
verismo,391,302
city pop,391,298
kulintang,390,173
descarga,385,272
danzón,383,198
chutney,381,221
old school hip hop,380,370
harsh noise,380,361
sawt,370,287
chopped and screwed,369,301
break-in,369,295
opera buffa,369,306
fuji,367,256
d-beat,367,350
hardcore techno,364,335
hyphy,363,272
deep funk,362,347
production music,361,314
mod revival,358,285
cakewalk,358,265
power electronics,351,287
group sounds,351,345
orchestral song,350,290
raw punk,350,346
ricercar,345,223
dark electro,344,335
fandango,344,258
gagaku,341,223
praise & worship,340,281
breakbeat hardcore,335,305
microhouse,332,252
jazz blues,331,328
hardcore hip hop,329,302
ambient house,328,272
country rap,325,282
western classical,325,320
yacht rock,324,241
urban cowboy,324,321
hard house,324,238
p-funk,322,300
dhrupad,317,246
tarantella,317,228
mbaqanga,316,260
humppa,316,169
desert rock,316,285
divertissement,315,253
latin rock,313,266
blackened death metal,310,285
c-pop,309,300
repente,307,256
avant-prog,306,259
hyperpop,305,195
celtic rock,304,301
c86,303,103
narcocorrido,300,156
arrocha,298,256
ballad opera,296,221
swamp rock,293,276
melodic black metal,292,235
third stream,288,250
sophisti-pop,284,272
crossbreed,284,215
goa trance,283,278
leftfield,282,273
cueca,280,159
rapso,280,184
boom bap,278,223
tappa,278,201
thumri,276,217
candombe,276,205
cloud rap,273,233
sertanejo,271,173
cantoria,266,216
hi-tech,265,246
duranguense,265,144
post-classical,264,216
khyal,262,162
porro,259,154
talking blues,259,236
powerviolence,255,204
fife and drum,254,188
nintendocore,252,110
yé-yé,251,140
forró,247,141
concerto grosso,247,211
zamba,247,180
dembow,243,161
afrobeats,242,145
funk carioca,242,174
kwela,239,174
choral symphony,239,188
monodrama,237,204
pep band,237,191
swamp blues,237,206
indeterminacy,236,192
pasodoble,230,146
tribal house,227,205
future bass,227,210
standup comedy,226,208
tape music,226,197
lute song,225,169
son montuno,222,194
dub techno,220,185
acid techno,220,195
sanjo,219,132
dangdut,217,107
joropo,217,129
bikutsi,216,91
witch house,216,152
digital hardcore,215,188
neo-progressive rock,215,207
g-funk,215,173
moombahton,215,170
funky house,214,203
pagode,213,154
drone metal,213,196
makossa,211,132
kuduro,209,135
hard trance,206,177
reggae-pop,203,194
electronicore,202,190
ambient dub,201,189
speed garage,201,141
schottische,199,161
heavy psych,196,190
glam punk,195,191
thrashcore,195,162
raga rock,195,138
deathgrind,193,179
geek rock,193,108
industrial techno,192,178
emo rap,192,127
parang,192,109
guaguancó,189,130
artcore,188,109
isicathamiya,187,137
axé,187,125
freakbeat,187,179
2 tone,186,160
beat poetry,184,181
instrumental hip hop,184,173
hypnagogic pop,184,128
biguine,183,127
space disco,183,155
singspiel,183,158
nagauta,182,82
bouyon,182,89
acousmatic,180,133
hip hop soul,179,162
guajira,179,136
manele,179,97
coldwave,178,156
g-house,178,154
bélé,178,86
baião,178,141
maracatu,177,110
experimental hip hop,175,172
noisecore,175,162
bro-country,175,133
coon song,175,126
coladeira,172,102
europop,171,160
ondō,171,101
sardana,171,78
goregrind,169,129
hiplife,169,117
southern hip hop,169,158
animal sounds,168,148
electropunk,167,162
avant-garde pop,167,165
son cubano,167,153
aggrotech,166,153
kagura,165,84
slack-key guitar,164,144
kizomba,163,109
frevo,162,115
marabi,161,94
lambada,161,112
nasheed,160,115
piyyut,158,74
techstep,158,130
pachanga,157,118
hip house,156,129
space age pop,155,134
celtic punk,155,102
onkyo,155,113
electro-disco,154,144
mbalax,154,119
symphonic prog,153,141
sevdalinka,152,135
minimal synth,150,124
operatic pop,150,144
vocal house,149,142
batuque,148,87
rabiz,148,89
yayue,147,81
nueva trova,147,121
piphat,147,82
neoclassical metal,146,132
cantopop,146,130
country soul,146,142
ring shout,146,85
red dirt,144,114
kouta,142,54
speedcore,142,98
desert blues,140,129
prank calls,140,97
plunderphonics,140,123
traditional black gospel,140,131
ahwash,140,68
nu jazz,139,132
sound poetry,138,106
whale song,137,108
sean-nós,135,97
batida,135,75
reductionism,135,89
dabke,135,71
luk thung,135,67
méringue,134,66
ars nova,132,102
jiuta,132,34
orchestral jazz,132,117
dark folk,131,131
eurobeat,130,121
nuevo tango,129,116
tragédie en musique,129,84
genge,129,83
hauntology,128,86
klapa,126,63
garage house,126,118
murga,125,89
samba-reggae,124,64
canterbury scene,124,118
chamber folk,124,116
old school death metal,124,118
ethereal wave,123,99
lundu,123,77
bagad,122,83
denpa,122,62
pasillo,121,71
doina,119,68
mor lam,119,73
slow waltz,119,115
ars subtilior,119,84
gqom,118,74
turbo-folk,118,90
guided meditation,117,102
nuevo flamenco,117,102
seguidilla,117,81
skacore,116,105
mahori,115,83
laiko,115,96
illbient,114,101
nueva canción,114,91
taarab,113,66
slam poetry,112,94
country boogie,110,99
ghettotech,110,85
estrada,109,66
bubblegum dance,108,95
avant-folk,108,106
liscio,107,72
tiento,107,56
hard drum,107,107
midwest emo,106,58
disco polo,106,47
big room house,105,84
minimal wave,105,91
atmospheric black metal,104,97
shima-uta,104,41
funaná,102,40
gwo ka,102,59
paisley underground,102,99
future funk,101,94
industrial hip hop,100,82
amapiano,100,55
huapango,100,75
political hip hop,100,80
hard techno,100,91
ghetto house,99,72
cuarteto,99,77
east coast hip hop,99,98
kundiman,98,59
opera-ballet,97,82
champeta,95,59
samba-canção,95,65
gypsy punk,94,82
totalism,94,80
grebo,93,63
son jarocho,92,75
conscious hip hop,92,73
power noise,92,84
kecak,91,44
cumbia villera,90,57
mbube,89,62
nightcore,88,43
synth funk,88,82
piedmont blues,87,87
blackgaze,87,69
gumbe,87,61
mandopop,87,83
electro swing,86,78
christmas music,86,82
jùjú,84,51
changüí,83,42
samba-enredo,83,44
verbunkos,83,61
ars antiqua,83,60
melodic trance,83,76
honkyoku,82,60
liquid funk,82,72
medieval metal,82,79
kayōkyoku,82,47
maxixe,82,60
darkcore,80,71
microsound,80,74
glitch hop,79,52
salsa romántica,79,45
chilena,79,62
abhang,79,58
bluegrass gospel,78,76
crunkcore,78,61
frenchcore,77,35
batucada,77,60
hill country blues,76,66
dub poetry,76,66
cyber metal,76,49
funeral doom metal,76,75
lo-fi house,76,73
kawaii metal,76,55
jongo,75,42
bulería,75,52
bit music,75,71
kapuka,75,46
sinawi,74,33
alternative punk,74,72
industrial musical,74,58
neurofunk,74,72
lavani,74,60
rumba flamenca,74,59
spouge,73,30
southern metal,72,67
hyangak,72,37
chimurenga,71,38
war metal,71,64
surf punk,71,67
palm-wine,70,51
bitpop,70,54
pinpeat,69,49
post-minimalism,69,66
pagan folk,69,60
electrotango,68,55
chanson française,68,55
huayno,68,63
seapunk,68,43
maloya,68,28
chacarera,68,50
dangak,68,39
chicago blues,67,40
irish folk,67,63
phonk,67,30
jumpstyle,67,58
technical thrash metal,67,63
gnawa,66,49
min'yō,65,15
khrueang sai,65,22
shidaiqu,65,41
holy minimalism,65,64
ginan,64,45
marinera,64,41
modinha,64,54
township jive,63,62
neo-rockabilly,63,59
hi-nrg,61,60
future house,61,55
chachachá,60,48
circus march,60,54
chipmunk soul,60,54
west coast hip hop,60,60
landó,59,23
occult rock,59,48
dream trance,58,55
rautalanka,58,28
levenslied,58,39
free folk,58,56
j-pop,57,43
deep tech,57,39
bambuco,57,45
glitch pop,57,55
saeta,56,35
género chico,55,27
salegy,55,38
csárdás,55,35
yukar,55,23
drumstep,55,46
sutartinės,54,25
comedy hip hop,54,50
novelty piano,54,42
sinfonia concertante,53,39
detroit techno,52,52
slacker rock,52,47
koplo,52,14
spectralism,52,38
zeuhl,52,38
tonadilla,51,42
vude,51,36
shashmaqam,51,25
hardstep,51,47
bolero son,51,50
romantic classical,50,50
sufi rock,50,42
merengue típico,50,31
salsa dura,50,45
éntekhno,50,26
tumba francesa,50,26
future garage,50,46
hardvapour,49,23
acid trance,49,42
medieval rock,49,42
ca trù,49,23
british folk rock,49,48
jazz poetry,48,38
ambient trance,48,48
easycore,48,35
gothic country,48,42
jōruri,47,23
vanera,47,36
livetronica,47,41
martial industrial,46,44
melodic techno,46,45
concerto for orchestra,46,41
cadence rampa,46,37
xẩm,46,11
tropicália,45,41
bleep techno,45,42
chalga,45,40
gregorian chant,45,42
guoyue,45,30
afroswing,45,35
hardbag,45,30
shatta,45,27
samba-rock,45,36
assiko,44,38
kumi-daiko,44,28
sōkyoku,43,26
vals criollo,43,29
diva house,43,40
digicore,43,25
phleng phuea chiwit,43,31
bouncy techno,42,32
sevillanas,42,37
għana,42,11
oberek,42,19
integral serialism,42,38
trap metal,41,31
dungeon synth,41,13
samba de roda,41,31
tropipop,41,33
ryūkōka,41,18
brostep,41,32
zouglou,40,28
funk melody,40,37
samba-jazz,40,35
chamamé,40,30
junkanoo,40,35
neo-traditional country,40,40
singeli,40,21
rigsar,40,20
melodic house,39,36
pornogrind,39,26
xuc,39,31
j-rock,39,20
nashville sound,39,39
opera semiseria,38,34
ripsaw,38,27
budots,38,2
waulking song,38,29
neoclassical dark wave,38,36
nu disco,37,31
marchinha,37,29
punk rap,37,34
bass house,37,29
payada,37,19
chutney soca,36,26
sacred steel,36,26
keroncong,36,28
folkhop,36,23
powada,36,13
latin ballad,36,35
tsugaru-jamisen,36,16
merenhouse,36,26
gamelan angklung,36,21
harawi,36,28
deconstructed club,35,32
gamelan gong kebyar,35,29
marrabenta,35,25
kujawiak,35,13
coupé-décalé,35,23
hardbass,35,10
tin pan alley,35,34
shaabi,35,21
traditional doom metal,35,32
british blues,34,32
black midi,34,18
skweee,34,19
spacesynth,34,28
experimental big band,34,33
krakowiak,33,27
hopepunk,33,5
cuplé,33,18
carimbó,33,22
beatdown hardcore,32,31
psybient,32,29
ragga jungle,32,31
nu skool breaks,32,31
zouk love,32,26
dark jazz,31,29
cải lương,31,19
suomisaundi,31,22
partido alto,31,27
indian pop,31,25
palingsound,31,15
kadongo kamu,31,17
néo-trad,30,24
shitgaze,30,29
epic doom metal,30,29
cowboy poetry,30,15
industrial hardcore,30,30
gospel reggae,30,25
italo-disco,30,29
rizitika,30,15
progressive breaks,30,25
balearic beat,30,30
sungura,30,29
chanson réaliste,29,22
cumbia sonidera,29,28
fakaseasea,29,21
currulao,28,23
cantu a tenore,28,23
tex-mex,28,27
kaseko,28,26
bullerengue,28,28
algorave,28,19
lo-fi hip hop,27,24
goombay,27,22
chèo,27,16
bongo flava,27,17
dark disco,27,27
rumba catalana,27,21
festejo,27,18
psycore,27,21
jaipongan,27,7
guarania,27,20
darkstep,26,25
kalindula,26,13
kabarett,26,12
muziki wa dansi,26,26
complextro,26,21
mangue beat,25,23
tech trance,25,23
vaudeville blues,25,24
stochastic music,25,25
embolada,25,24
sacred harp,25,22
jeongak,25,18
sampledelia,25,25
campus folk,25,19
techno bass,25,25
breakstep,24,23
carnatic classical,24,23
tallava,24,7
euro-disco,24,24
jamgrass,24,23
sambass,24,18
outsider house,24,23
tamborito,24,22
shibuya-kei,24,24
danmono,23,11
blackened crust,23,21
dreampunk,23,5
slam death metal,23,22
deep techno,23,23
skinhead reggae,23,21
tondero,23,10
gospel house,23,20
chicano rap,23,20
vocal surf,23,23
binaural beats,23,21
asmr,23,13
maskanda,22,21
son huasteco,22,21
sonorism,22,20
raggacore,22,21
conducted improvisation,22,21
french house,22,22
latin house,22,22
falak,22,18
white voice,22,21
gamelan degung,21,17
tamborera,21,10
trallalero,21,14
death industrial,21,18
nitzhonot,21,16
fidget house,21,21
zamacueca,21,14
melodic dubstep,20,13
ciranda,20,20
tizita,20,14
upopo,20,13
bubblegum bass,20,18
nortec,20,14
crossover prog,20,17
shanto,20,14
afro-funk,19,19
latin soul,19,19
brutal prog,19,19
dark psytrance,19,17
tsapiky,19,14
new complexity,19,19
depressive black metal,19,18
afro-cuban jazz,19,19
west coast swing,19,19
takamba,18,11
drill and bass,18,14
moombahcore,18,17
mincecore,18,15
abstract hip hop,17,17
wassoulou,17,11
ketuk tilu,17,9
death 'n' roll,17,12
pop yeh-yeh,17,12
afro-jazz,17,16
kacapi suling,17,16
bocet,17,11
dubstyle,17,12
drumfunk,17,17
hardcore breaks,16,16
funkot,16,9
timbila,16,12
kwassa kwassa,16,15
makina,15,10
pagan black metal,15,15
cybergrind,15,14
shangaan electro,15,15
ballroom house,15,13
shōmyō,15,9
jazzstep,15,15
pimba,15,14
merseybeat,15,14
tropical rock,15,12
tecnobrega,15,14
izlan,15,14
black noise,15,13
data sonification,15,12
maftirim,14,10
njuup,14,14
uk garage,14,7
muiñeira,14,7
sierreño,14,12
jácara,14,11
carnavalito,14,11
funk ostentação,14,9
euro-trance,14,13
hexd,14,9
fife and drum blues,14,14
flamenco jazz,14,14
flamenco pop,14,12
trance metal,14,14
digital cumbia,14,14
purple sound,13,12
canzone napoletana,13,13
free tekno,13,13
guitarrada,13,12
talempong,13,7
asian rock,13,10
mallsoft,13,6
heikyoku,13,11
horror synth,13,13
qasidah modern,13,11
funktronica,13,13
acid breaks,12,11
tribal guarachero,12,7
canción melódica,12,7
quan họ,12,9
gagok,12,11
shinkyoku,12,10
seggae,12,9
texas blues,12,12
sertanejo universitário,12,9
zeybek,12,9
christian hip hop,12,12
gambang kromong,12,8
andean new age,11,11
tarraxinha,11,10
death-doom metal,11,11
dongjing,11,11
uptempo hardcore,11,11
unyago,11,5
pilón,11,7
philly soul,11,11
cumbia mexicana,11,7
emoviolence,11,8
cumbia santafesina,11,4
mahraganat,11,4
pìobaireachd,10,8
rōkyoku,10,5
zamrock,10,8
quyi,10,8
terrorcore,10,10
latin funk,10,9
bend-skin,10,10
aboio,10,10
pop raï,10,8
séga,10,7
stenchcore,10,7
chicago house,10,10
rock urbano,10,8
drift phonk,10,3
mor lam sing,9,9
black 'n' roll,9,7
sasscore,9,9
crime jazz,9,9
tassu,9,7
neoperreo,9,7
future rave,9,5
urtiin duu,9,5
música criolla,9,9
orthodox pop,9,9
organic house,9,7
langgam jawa,9,8
pipe band music,9,9
género grande,9,5
rawstyle,9,9
zohioliin duu,9,3
space ambient,9,8
ambasse bey,9,9
gamelan jegog,9,8
gaita zuliana,9,8
campursari,9,9
trap soul,8,7
indian classical,8,8
boedra,8,6
música cebolla,8,4
candombe beat,8,8
gamelan semar pegulingan,8,8
baroque suite,8,8
natya sangeet,8,8
gondang,8,5
tanjidor,8,3
afoxê,8,8
liedermacher,8,6
miami bass,8,8
ritual ambient,8,8
cantu a chiterra,8,7
kleinkunst,8,8
indie surf,8,8
samba de breque,8,5
italo house,8,8
chazzanut,8,8
yaraví,8,7
acidcore,8,8
festival trap,8,8
samba soul,8,7
stornello,8,8
hyper techno,8,7
kidandali,8,8
vaportrap,8,8
post-britpop,7,7
chillstep,7,6
bachatón,7,5
euphoric hardstyle,7,5
samba-exaltação,7,5
tribal ambient,7,7
harsh noise wall,7,7
cumbia pop,7,6
midtempo bass,7,7
banda sinaloense,7,7
lento violento,7,4
sambalanço,7,6
znamenny chant,7,7
moda de viola,7,6
cocktail nation,6,5
neofolklore,6,2
hindustani classical,6,6
porn groove,6,6
atmospheric drum and bass,6,5
kidumbak,6,1
neo-acoustic,6,5
ziglibithy,6,6
bardcore,6,3
arabesk,6,6
contemporary r&b,6,6
samba-choro,6,5
boduberu,6,6
čalgija,6,3
nouveau zydeco,6,6
truck driving country,6,5
doomcore,6,6
new orleans blues,6,6
splittercore,6,3
moe song,6,6
mobb music,6,6
volkstümliche musik,6,3
pluggnb,6,2
darksynth,6,5
neurohop,6,6
samba de gafieira,6,6
euro house,6,6
afro rock,5,5
agbekor,5,5
indorock,5,5
celtic metal,5,5
könsrock,5,2
black ambient,5,5
schranz,5,5
corrido tumbado,5,5
nhạc đỏ,5,5
brega funk,5,5
bandari,5,5
balitaw,5,5
broken transmission,5,4
muliza,5,3
son calentano,5,5
future core,5,5
hát tuồng,5,4
adhunik geet,5,5
country yodeling,5,4
riddim dubstep,5,5
jersey club,5,5
colour bass,5,2
agbadza,5,3
french electro,5,5
samba de terreiro,5,3
balearic trance,5,5
baisha xiyue,5,3
slap house,5,5
wonky techno,5,4
dimotiko,5,5
flashcore,5,5
memphis rap,4,4
uzun hava,4,4
malhun,4,3
forró universitário,4,3
italo dance,4,4
colindă,4,3
math pop,4,4
shan'ge,4,1
tamborzão,4,3
gamelan gong gede,4,4
cadence lypso,4,2
