target,frequency,number
pi,4803236,2003297
tar,3064430,1509366
sho,1858054,1013242
guitar,1011952,595938
ney,756246,411149
bass,533012,362433
poi,475932,318692
organ,369750,216353
ching,334990,254213
piano,323908,195915
piri,254034,169566
tres,211745,119058
bell,210656,137385
oud,205653,127985
keyboard,169879,125187
lute,153781,106072
venu,132927,87088
horn,125800,80712
violin,122434,75543
nai,119826,74189
tape,116927,77722
thon,112395,67926
percussion,105838,79353
harp,105598,69678
yu,95294,49030
tef,93606,59950
tiple,75551,58233
trumpet,73971,54271
effects,67296,43255
strings,62233,44016
cello,59492,36248
saxophone,58823,42512
flute,51574,33885
bass guitar,50531,41177
viola,47657,27546
synthesizer,43365,32858
acoustic guitar,41593,33516
chap,40999,24164
clarinet,40554,25340
electric guitar,37241,29263
tible,36593,28680
riq,31821,18904
brass,29885,23428
ugal,28656,18649
fiddle,26341,18868
harmonica,24929,20054
banjo,24280,17644
trombone,23046,16740
accordion,21148,15416
mandolin,19748,14832
jing,18535,12107
bones,17182,11452
harpsichord,14626,9422
double bass,14449,11430
oboe,13576,8984
udu,13325,8121
string quartet,12841,9277
recorder,12052,8562
buk,11521,6658
whistle,11041,7910
steel guitar,10637,8478
jug,10501,7440
bassoon,10460,6376
drum machine,10348,9027
cymbal,10155,7692
limbe,9978,7831
zill,9954,4565
tenor saxophone,8839,7480
guan,8504,4362
sampler,8339,7046
Moog,8036,4755
tuba,7917,5816
igil,7800,4812
koto,7618,4021
woodwind,7546,6454
triangle,7506,4308
reeds,7405,4629
slide guitar,7372,6452
erhu,7287,4123
gong,7222,4210
sitar,7113,5461
cornet,6201,4481
tabla,6073,4613
alto saxophone,5919,4933
electric piano,5796,4992
daf,5779,3658
timpani,5567,4013
classical guitar,5482,4720
bass drum,5474,4514
turntable,5415,4496
tambourine,5353,4618
bass clarinet,5325,4151
vibraphone,5321,4522
bagpipe,5297,3745
suka,5243,2903
other instruments,4967,4747
ukulele,4916,3803
Hammond organ,4711,4089
marimba,4676,3539
kora,4366,2679
French horn,4365,3837
melodica,4218,3984
serpent,4165,2332
anvil,4015,2732
piccolo,4009,3207
harmonium,3506,2684
snare drum,3399,2927
ruan,3392,2071
pedal steel guitar,3364,2952
chimes,3253,2754
dhol,3232,2189
congas,3200,2801
flugelhorn,3110,2694
xylophone,3025,2567
gamelan,2970,1637
pipe organ,2956,2437
grand piano,2910,2540
baritone saxophone,2868,2561
soprano saxophone,2857,2488
handclaps,2816,2247
piano trio,2732,2239
glockenspiel,2731,2414
dizi,2722,1975
bugle,2721,1741
hi-hat,2457,2054
vocoder,2406,2021
regal,2405,1970
wind instruments,2341,2117
zither,2338,1533
bouzouki,2322,1752
lyre,2316,1375
shakers,2246,1366
saz,2150,1419
theremin,2093,1536
bongos,2070,1806
kaval,1953,1444
continuum,1868,1481
brushes,1851,1510
cowbell,1840,1539
veena,1811,1045
chande,1740,1244
wot,1735,1062
carillon,1695,612
electronic instruments,1691,1584
ratchet,1647,1235
euphonium,1527,1017
typewriter,1526,981
antara,1514,970
mellotron,1503,1286
clavinet,1483,1314
fife,1478,840
didgeridoo,1451,1069
fortepiano,1385,844
shakuhachi,1380,824
concertina,1359,1005
taphon,1353,896
flamenco guitar,1350,1207
xun,1333,602
tin whistle,1330,1061
viola da gamba,1323,905
autoharp,1315,1075
lap steel guitar,1254,1128
claves,1254,879
ebow,1254,906
taiko,1237,750
bass trombone,1201,898
maracas,1201,1043
celesta,1191,987
pipa,1190,688
slapstick,1189,1029
tap dance,1187,1029
electric violin,1181,999
timbales,1180,978
tom-tom,1162,1033
kazoo,1154,859
contrabassoon,1147,985
sheng,1121,654
berda,1113,642
chacha,1108,597
conch,1098,734
fretless bass,1091,952
bandura,1078,615
djembe,1060,725
shamisen,1036,576
Rhodes piano,1022,915
washboard,1015,769
cor anglais,1012,872
alto flute,1003,822
mbira,1000,606
quena,984,541
analog synthesizer,965,870
clavichord,939,648
cuatro,936,667
cornett,907,410
tanbur,902,611
string trio,884,722
bayan,871,557
baritone guitar,871,710
Minimoog,860,665
electric bass guitar,857,791
spoons,854,678
prepared piano,839,619
resonator guitar,829,692
concert flute,822,776
string quintet,791,674
mridangam,790,533
vihuela,779,404
upright piano,778,699
quinto,770,475
bombarde,766,685
toy piano,766,617
virginal,763,521
sarod,762,568
krap,761,379
sousaphone,731,533
theorbo,729,471
clapper,725,449
hammered dulcimer,713,596
vielle,703,449
spinet,694,379
button accordion,687,534
piano duo,685,586
shawm,685,430
electronic organ,682,588
biwa,680,232
uilleann pipes,672,557
EWI,670,459
disk drive,657,338
mandola,656,512
cimbalom,640,436
piano quartet,640,549
sarangi,638,520
theatre organ,630,442
balalaika,630,392
tambura,594,462
Wurlitzer electric piano,592,517
charango,588,393
balafon,586,408
xiao,585,369
tabor,577,317
repeater,571,345
vacuum cleaner,562,412
wood block,556,520
bass flute,550,392
ocarina,547,390
frame drum,543,432
castanets,537,468
cittern,535,408
duduk,532,382
musical saw,530,416
talking drum,528,452
zarb,515,190
idiophone,515,345
saxophone quartet,514,403
mellophone,514,354
bass viol,507,350
daire,487,343
Pianet,487,193
tenor guitar,479,326
wind chime,477,425
guitar synthesizer,474,410
calliope,465,343
berimbau,461,286
electric sitar,459,405
harp guitar,438,381
bodhrán,430,332
surdo,428,238
double reed,426,346
keytar,424,336
guzheng,422,295
siku,422,281
tubular bells,416,367
tenor banjo,412,339
transverse flute,409,344
steelpan,403,300
violone,400,238
pan flute,399,344
cavaquinho,397,291
kantele,395,229
shofar,395,181
valve trombone,382,330
nabal,382,229
calabash,378,260
rebec,370,288
mouth organ,368,327
bass pedals,367,314
piano accordion,366,314
saw u,363,328
bass saxophone,362,283
bansuri,356,286
baritone horn,353,308
mandocello,351,265
five-string banjo,349,312
reed organ,345,252
nyckelharpa,344,226
tanpura,341,233
suona,341,237
natural horn,327,246
acoustic bass guitar,326,274
handbell,325,182
basset horn,320,175
angklung,317,88
zurna,315,226
piano four hands,314,272
sackbut,308,232
rebab,308,215
Appalachian dulcimer,308,248
violin family,307,226
piccolo trumpet,307,261
12 string guitar,306,280
E-flat clarinet,304,276
baryton,303,177
psaltery,293,216
setar,292,196
kokle,290,87
ondes Martenot,290,184
tenor trombone,287,211
yehu,284,211
güiro,279,217
low whistle,277,215
archtop guitar,277,232
shehnai,277,206
santur,272,211
chalumeau,271,139
